band,start_time,end_time,duration,max_power,integrated_power,dominant_frequency,bandwidth,L,MLT,MLAT,Storm_Phase
Pc1,2015-03-13 02:29:34.952938,2015-03-13 03:55:57.307668,96.015625,11.466445733081937,688.0923612480565,0.18746948738812041,0.020829943043124494,2.24844,3.11414,1.9048,Quiet
Pc1,2015-03-13 11:27:05.876320,2015-03-13 12:54:35.260917,134.34375,7.861347561296873,666.2900050343918,0.18608978832286577,0.0074435915329146285,2.39858,2.8765,6.24193,Quiet
Pc1,2015-03-13 20:23:46.465719,2015-03-13 21:50:37.692829,111.03125,9.11385238493529,608.0314354529426,0.18012946805516464,0.00900647340275823,2.36727,2.96284,-8.85453,Quiet
Pc1,2015-03-14 05:26:20.532633,2015-03-14 06:53:19.743404,95.5,7.960552914694583,477.73289098023736,0.18848167539267016,0.010471204188481659,2.28409,3.10117,8.5147,Quiet
Pc1,2015-03-14 14:22:39.985975,2015-03-14 15:47:46.539653,104.046875,8.017289730457755,481.19940850529883,0.182610001501727,0.009611052710617213,2.2185,3.13154,0.722871,Quiet
Pc1,2015-03-15 00:00:24.085567,2015-03-15 00:47:24.627718,138.59375,11.738095885385814,1267.1054524009023,0.18038331454340473,0.007215332581736206,1.09369,9.62128,1.96431,Quiet
Pc1,2015-03-15 08:20:40.036850,2015-03-15 09:49:22.793065,98.953125,8.400881846208843,505.2398109115129,0.18190431075319755,0.010105795041844307,2.3941,3.00845,10.7524,Quiet
Pc1,2015-03-15 17:17:14.966744,2015-03-15 18:42:20.768862,105.71875,9.667873559286589,580.5063124467222,0.18918120011823827,0.009459060005911929,2.46882,2.73775,-7.18246,Quiet
Pc1,2015-03-16 02:17:59.641965,2015-03-16 03:44:32.724691,96.796875,10.961225470627118,657.7786712739336,0.18595641646489106,0.010330912025827282,2.19409,3.14148,2.22566,Quiet
Pc1,2015-03-16 11:15:33.001536,2015-03-16 12:43:13.052467,130.84375,7.079345422067544,612.4777241484628,0.18342488655361835,0.0,2.357,2.86038,7.26925,Quiet
Pc1,2015-03-16 20:12:15.156862,2015-03-16 21:39:10.660202,121.484375,9.704255422811368,709.2870085134414,0.18109324758842443,0.008231511254019275,2.49756,2.63766,-8.96524,Quiet
Pc1,2015-03-17 05:14:46.401538,2015-03-17 06:42:02.248334,92.6875,7.464668525727878,447.96037881912446,0.18341200269723534,0.010788941335131474,2.23191,3.11361,8.98174,Main Phase
Pc1,2015-03-17 14:11:02.799293,2015-03-17 15:36:35.458624,101.46875,7.012227626611452,420.9266879600715,0.18724976901755466,0.00985525100092391,2.34751,2.76966,0.220672,Main Phase
Pc1,2015-03-18 08:08:34.378262,2015-03-18 09:38:16.442757,113.71875,9.642513036542892,588.2764650409927,0.18466611706512778,0.0,2.35608,3.00792,11.5193,Recovery Phase
Pc1,2015-03-18 17:05:46.852403,2015-03-18 18:30:58.105207,103.078125,7.6564651495866896,459.603964875369,0.18432620888282553,0.009701379414885553,2.41029,2.72876,-6.23993,Recovery Phase
